Scene,Camera X,Camera Y,Camera Z
lego_y-,0.7931124,0.90005,-1.151062
lego_y-,0.7925892,0.9003221,-1.150092
lego_y-,0.7923806,0.901108,-1.149303
lego_y-,0.7924369,0.9034614,-1.148486
lego_y-,0.7927822,0.9055682,-1.148448
lego_y-,0.7932517,0.9082873,-1.148684
lego_y-,0.7932734,0.9113546,-1.148333
lego_y-,0.7938387,0.9148881,-1.148876
lego_y-,0.7941801,0.9187399,-1.149223
lego_y-,0.7942138,0.9222964,-1.14927
lego_y-,0.7927489,0.9292762,-1.14713
lego_y-,0.79219,0.9302325,-1.147666
lego_y-,0.7924757,0.9324383,-1.149252
lego_y-,0.7922415,0.9343358,-1.150252
lego_y-,0.7919971,0.935537,-1.151108
lego_y-,0.7916704,0.9358088,-1.151511
lego_y-,0.7912102,0.9353526,-1.151791
lego_y-,0.7905348,0.9341294,-1.151451
lego_y-,0.7900322,0.9334351,-1.150751
lego_y-,0.7895519,0.9329144,-1.149737
lego_y-,0.7894956,0.9320052,-1.149359
lego_y-,0.7890288,0.9314207,-1.148197
lego_y-,0.7883196,0.931073,-1.146526
lego_y-,0.787773,0.9310429,-1.145191
lego_y-,0.7868543,0.9315695,-1.143063
lego_y-,0.785415,0.9320467,-1.140561
lego_y-,0.7842126,0.932096,-1.138296
lego_y-,0.7841017,0.9323077,-1.137441
lego_y-,0.7833096,0.9326065,-1.135771
lego_y-,0.7821361,0.9327281,-1.133726
lego_y-,0.7809111,0.932699,-1.131639
lego_y-,0.7795067,0.9332599,-1.128868
lego_y-,0.7786959,0.9334761,-1.127314
lego_y-,0.777222,0.9334503,-1.124728
lego_y-,0.7757967,0.9331197,-1.122084
lego_y-,0.7743918,0.9328244,-1.119328
lego_y-,0.7728485,0.9325522,-1.116242
lego_y-,0.7713005,0.9322852,-1.113038
lego_y-,0.7698876,0.9321128,-1.109987
lego_y-,0.7674672,0.9319099,-1.105202
lego_y-,0.7660434,0.9315836,-1.102431
lego_y-,0.7643472,0.9315101,-1.098713
lego_y-,0.7626278,0.9315736,-1.094789
lego_y-,0.7614953,0.931273,-1.091941
lego_y-,0.7603343,0.9310061,-1.088961
lego_y-,0.7590716,0.9308475,-1.085519
lego_y-,0.7577162,0.9305506,-1.081605
lego_y-,0.7571706,0.9302641,-1.079768
lego_y-,0.7563605,0.9298079,-1.076872
lego_y-,0.7556824,0.929447,-1.074397
lego_y-,0.7552371,0.9292308,-1.072267
lego_y-,0.7553844,0.9288764,-1.071012
lego_y-,0.7551578,0.928725,-1.069446
lego_y-,0.7547927,0.9286347,-1.067757
lego_y-,0.754576,0.9284858,-1.066484
lego_y-,0.7545617,0.9284399,-1.065632
lego_y-,0.754572,0.9283832,-1.065171
lego_y-,0.7546867,0.9283167,-1.064907
lego_y-,0.7551855,0.9281994,-1.065112
lego_y-,0.7561763,0.928223,-1.066162
lego_y-,0.7563066,0.9282303,-1.066067
lego_y-,0.7564731,0.9282277,-1.065986
lego_y-,0.7564246,0.9282357,-1.066027
lego_y-,0.7562857,0.9280908,-1.066109
lego_y-,0.7561529,0.9278428,-1.066263
lego_y-,0.7560607,0.9278338,-1.066433
lego_y-,0.7564732,0.9277918,-1.067169
lego_y-,0.7565028,0.9278094,-1.067501
lego_y-,0.756161,0.9276617,-1.067254
lego_y-,0.7559822,0.9276751,-1.06713
lego_y-,0.7556762,0.9276834,-1.066917
lego_y-,0.7552556,0.9276342,-1.066509
lego_y-,0.7548874,0.927632,-1.066148
lego_y-,0.7546204,0.9275575,-1.065844
lego_y-,0.7546349,0.9274098,-1.065858
lego_y-,0.7539369,0.9274465,-1.064964
lego_y-,0.7534137,0.9273761,-1.064338
lego_y-,0.7529551,0.9272467,-1.063729
lego_y-,0.7524426,0.9271721,-1.062952
lego_y-,0.752026,0.9270145,-1.0623
lego_y-,0.7516438,0.9267981,-1.061673
lego_y-,0.7514592,0.9267413,-1.061145
lego_y-,0.7510377,0.9268143,-1.060267
lego_y-,0.7507541,0.9267455,-1.059643
lego_y-,0.7504376,0.9267462,-1.059033
lego_y-,0.7501767,0.9266906,-1.058508
lego_y-,0.7499551,0.9266982,-1.058143
lego_y-,0.7497408,0.9266689,-1.057827
lego_y-,0.7499773,0.9265266,-1.058134
lego_y-,0.7497949,0.926361,-1.057834
lego_y-,0.7496874,0.9262111,-1.05756
lego_y-,0.7495932,0.9261164,-1.057342
lego_y-,0.7494534,0.9260824,-1.057076
lego_y-,0.749256,0.9259943,-1.056822
lego_y-,0.7490816,0.9258614,-1.056628
lego_y-,0.7487308,0.9258224,-1.056228
lego_y-,0.7492819,0.9257175,-1.057041
lego_y-,0.7489044,0.9256799,-1.056658
lego_y-,0.7485257,0.9256301,-1.056241
lego_y-,0.7481205,0.9255171,-1.055937
lego_y-,0.747731,0.9254162,-1.055589
lego_y-,0.7474081,0.9253383,-1.055373
lego_y-,0.746992,0.9253578,-1.055067
lego_y-,0.7464389,0.9255669,-1.054658
lego_y-,0.7466129,0.9256435,-1.055308
lego_y-,0.74612,0.9257041,-1.055063
lego_y-,0.7457554,0.9257171,-1.054808
lego_y-,0.7454398,0.9257492,-1.054576
lego_y-,0.7452384,0.9258803,-1.054448
lego_y-,0.7450961,0.9260346,-1.054475
lego_y-,0.74498,0.9259567,-1.054517
lego_y-,0.7450451,0.9259496,-1.054828
lego_y-,0.7450644,0.9259992,-1.055089
lego_y-,0.745096,0.9261483,-1.055203
lego_y-,0.7451932,0.9263005,-1.055624
lego_y-,0.7454173,0.9264669,-1.056067
lego_y-,0.7456445,0.9267212,-1.056432
lego_y-,0.74595,0.9269824,-1.057097
lego_y-,0.7460155,0.9269297,-1.057415
lego_y-,0.746566,0.9270578,-1.05841
lego_y-,0.7465709,0.9271576,-1.058731
lego_y-,0.7466677,0.9271217,-1.059134
lego_y-,0.7467927,0.9270929,-1.059571
lego_y-,0.7469698,0.9269981,-1.059986
lego_y-,0.7471419,0.9270484,-1.060547
lego_y-,0.7472315,0.9269077,-1.060674
lego_y-,0.7473568,0.9267333,-1.060991
lego_y-,0.7481385,0.9265819,-1.062395
lego_y-,0.7479478,0.9264331,-1.062387
lego_y-,0.7477131,0.926289,-1.062336
lego_y-,0.7474777,0.9262708,-1.062298
lego_y-,0.7472458,0.9263868,-1.06226
lego_y-,0.7468756,0.9263074,-1.062452
lego_y-,0.7465968,0.9262736,-1.06251
lego_y-,0.7464094,0.9263448,-1.062685
lego_y-,0.7467073,0.9263376,-1.063559
lego_y-,0.7463993,0.9263394,-1.063508
lego_y-,0.7460591,0.9263073,-1.063328
lego_y-,0.7456891,0.9263092,-1.06314
lego_y-,0.7453734,0.9261709,-1.062923
lego_y-,0.7451662,0.9260499,-1.062852
lego_y-,0.7449638,0.9260222,-1.062807
lego_y-,0.7451532,0.9260025,-1.063306
lego_y-,0.7451658,0.9259286,-1.06362
lego_y-,0.7450424,0.9259299,-1.063685
lego_y-,0.7449099,0.9259098,-1.063787
lego_y-,0.7448061,0.925863,-1.063941
lego_y-,0.7447475,0.9259418,-1.06407
lego_y-,0.7447062,0.9259216,-1.06431
lego_y-,0.7448658,0.9258677,-1.06474
lego_y-,0.7448944,0.9258455,-1.064956
lego_y-,0.7447711,0.9258924,-1.065072
lego_y-,0.7446358,0.9258687,-1.06516
lego_y-,0.7443872,0.9258281,-1.065225
lego_y-,0.7441778,0.9258044,-1.065277
lego_y-,0.7440436,0.9257464,-1.065446
lego_y-,0.744003,0.925737,-1.065565
lego_y-,0.7445312,0.9257492,-1.066506
lego_y-,0.7436244,0.9255533,-1.07069
lego_y-,0.7440773,0.9252853,-1.072656
lego_y-,0.7439336,0.9250869,-1.072875
lego_y-,0.7437924,0.9250434,-1.072839
lego_y-,0.7437437,0.9249449,-1.07295
lego_y-,0.7437458,0.9249355,-1.073016
lego_y-,0.7436424,0.9248376,-1.072726
lego_y-,0.7435799,0.924755,-1.072395
lego_y-,0.7435452,0.9247583,-1.072125
lego_y-,0.7435258,0.9247164,-1.071738
lego_y-,0.7435182,0.9247133,-1.071333
lego_y-,0.7435399,0.9246965,-1.070904
lego_y-,0.7439022,0.9247678,-1.070989
lego_y-,0.7438552,0.9247041,-1.070483
lego_y-,0.7439521,0.9246922,-1.07013
lego_y-,0.7440864,0.9247939,-1.069911
lego_y-,0.7441247,0.9247648,-1.069668
lego_y-,0.7440141,0.9247524,-1.069358
lego_y-,0.743822,0.9245291,-1.06897
lego_y-,0.7438518,0.9242694,-1.068916
lego_y-,0.7449909,0.9238688,-1.07067
lego_y-,0.7453374,0.923564,-1.071358
lego_y-,0.7458675,0.9230949,-1.072342
lego_y-,0.7465227,0.9224119,-1.073403
lego_y-,0.7471363,0.9219257,-1.074401
lego_y-,0.7477832,0.9211168,-1.075602
lego_y-,0.7486438,0.9201977,-1.077382
