Scene,Camera X,Camera Y,Camera Z
mediumclamp_x+,0.9309749,1.352529,-1.090533
mediumclamp_x+,0.9307131,1.352416,-1.090215
mediumclamp_x+,0.9303291,1.352615,-1.090002
mediumclamp_x+,0.9307682,1.352803,-1.090636
mediumclamp_x+,0.9312647,1.352905,-1.091349
mediumclamp_x+,0.9317394,1.352904,-1.092248
mediumclamp_x+,0.9320334,1.3529,-1.093074
mediumclamp_x+,0.9318444,1.35291,-1.093834
mediumclamp_x+,0.931581,1.35295,-1.094567
mediumclamp_x+,0.9307724,1.353036,-1.095213
mediumclamp_x+,0.9295955,1.353258,-1.0961
mediumclamp_x+,0.9292765,1.353362,-1.096411
mediumclamp_x+,0.928057,1.353637,-1.097232
mediumclamp_x+,0.9265491,1.353888,-1.097433
mediumclamp_x+,0.9252632,1.354148,-1.097867
mediumclamp_x+,0.9233802,1.354556,-1.098788
mediumclamp_x+,0.9226216,1.354636,-1.099149
mediumclamp_x+,0.9209712,1.354944,-1.099267
mediumclamp_x+,0.9189305,1.355187,-1.099557
mediumclamp_x+,0.91776,1.35532,-1.099338
mediumclamp_x+,0.9152877,1.35573,-1.099288
mediumclamp_x+,0.9129382,1.356031,-1.099104
mediumclamp_x+,0.9104126,1.356295,-1.098814
mediumclamp_x+,0.9072451,1.356604,-1.098088
mediumclamp_x+,0.9048961,1.356955,-1.097535
mediumclamp_x+,0.9031808,1.357142,-1.09714
mediumclamp_x+,0.9015835,1.35737,-1.096656
mediumclamp_x+,0.899772,1.357483,-1.096052
mediumclamp_x+,0.8981729,1.357565,-1.095746
mediumclamp_x+,0.8962073,1.357562,-1.095067
mediumclamp_x+,0.8934017,1.357542,-1.094312
mediumclamp_x+,0.8907556,1.357382,-1.093799
mediumclamp_x+,0.8892142,1.357405,-1.093274
mediumclamp_x+,0.887259,1.35749,-1.092722
mediumclamp_x+,0.885289,1.357621,-1.092139
mediumclamp_x+,0.8835464,1.357811,-1.091772
mediumclamp_x+,0.8817884,1.358018,-1.091466
mediumclamp_x+,0.8793961,1.358129,-1.09112
mediumclamp_x+,0.8784783,1.358097,-1.090996
mediumclamp_x+,0.8768945,1.358073,-1.090822
mediumclamp_x+,0.8752234,1.358044,-1.090319
mediumclamp_x+,0.873798,1.357955,-1.089826
mediumclamp_x+,0.8725097,1.358066,-1.089445
mediumclamp_x+,0.8709307,1.3584,-1.0883
mediumclamp_x+,0.8698047,1.358907,-1.087541
mediumclamp_x+,0.8684117,1.360031,-1.086418
mediumclamp_x+,0.8677191,1.360807,-1.085516
mediumclamp_x+,0.8669314,1.362119,-1.084347
mediumclamp_x+,0.8663997,1.36332,-1.083513
mediumclamp_x+,0.8659253,1.364789,-1.082371
mediumclamp_x+,0.8658347,1.365719,-1.082048
mediumclamp_x+,0.8657016,1.367194,-1.081051
mediumclamp_x+,0.8659287,1.369495,-1.079893
mediumclamp_x+,0.8662468,1.370759,-1.07949
mediumclamp_x+,0.8668198,1.37271,-1.078805
mediumclamp_x+,0.8676283,1.374757,-1.078094
mediumclamp_x+,0.8685873,1.376626,-1.077699
mediumclamp_x+,0.8696937,1.378244,-1.077674
mediumclamp_x+,0.8710506,1.380029,-1.07765
mediumclamp_x+,0.8718835,1.380671,-1.07796
mediumclamp_x+,0.8736282,1.382464,-1.078044
mediumclamp_x+,0.8758295,1.385039,-1.078036
mediumclamp_x+,0.8771422,1.386334,-1.07844
mediumclamp_x+,0.8791074,1.388639,-1.078802
mediumclamp_x+,0.8812017,1.390492,-1.079518
mediumclamp_x+,0.8832523,1.392142,-1.080579
mediumclamp_x+,0.8855729,1.393695,-1.081994
mediumclamp_x+,0.8876951,1.395053,-1.083255
mediumclamp_x+,0.8904176,1.396799,-1.084855
mediumclamp_x+,0.8921964,1.397688,-1.085815
mediumclamp_x+,0.8943747,1.398962,-1.086948
mediumclamp_x+,0.8965111,1.400133,-1.08792
mediumclamp_x+,0.8988839,1.401343,-1.088944
mediumclamp_x+,0.9008269,1.402339,-1.089535
mediumclamp_x+,0.9021252,1.402512,-1.089999
mediumclamp_x+,0.9041213,1.402953,-1.0904
mediumclamp_x+,0.9067508,1.403263,-1.090761
mediumclamp_x+,0.9081057,1.403183,-1.090742
mediumclamp_x+,0.9098094,1.402922,-1.09087
mediumclamp_x+,0.9112911,1.402409,-1.090846
mediumclamp_x+,0.9125797,1.40189,-1.09078
mediumclamp_x+,0.9134718,1.401349,-1.090618
mediumclamp_x+,0.9141489,1.400766,-1.090596
mediumclamp_x+,0.914491,1.39995,-1.090392
mediumclamp_x+,0.9143222,1.399573,-1.090199
mediumclamp_x+,0.9137918,1.398981,-1.089992
mediumclamp_x+,0.9128368,1.398261,-1.089948
mediumclamp_x+,0.9115328,1.397662,-1.08991
mediumclamp_x+,0.909843,1.397104,-1.089834
mediumclamp_x+,0.9078233,1.396586,-1.089816
mediumclamp_x+,0.9056899,1.39606,-1.089817
mediumclamp_x+,0.9022507,1.395303,-1.089268
mediumclamp_x+,0.9001567,1.395023,-1.089424
mediumclamp_x+,0.8970649,1.394554,-1.089128
mediumclamp_x+,0.8934371,1.394108,-1.088728
mediumclamp_x+,0.8892331,1.393697,-1.088334
mediumclamp_x+,0.8848171,1.393631,-1.087932
mediumclamp_x+,0.8800394,1.3937,-1.087396
mediumclamp_x+,0.8734245,1.394105,-1.086361
mediumclamp_x+,0.8697026,1.394242,-1.086137
mediumclamp_x+,0.8639745,1.394497,-1.084985
mediumclamp_x+,0.8616977,1.394618,-1.084744
mediumclamp_x+,0.8589906,1.394555,-1.08512
mediumclamp_x+,0.8538522,1.394709,-1.084284
mediumclamp_x+,0.8508878,1.394693,-1.084513
mediumclamp_x+,0.8457779,1.394816,-1.08348
mediumclamp_x+,0.8428097,1.395049,-1.083596
mediumclamp_x+,0.8376182,1.395329,-1.082939
mediumclamp_x+,0.8305429,1.395617,-1.081697
mediumclamp_x+,0.8272032,1.395729,-1.081077
mediumclamp_x+,0.8245151,1.395525,-1.081264
mediumclamp_x+,0.8198262,1.395181,-1.080676
mediumclamp_x+,0.815532,1.394607,-1.080262
mediumclamp_x+,0.8109241,1.393629,-1.079448
mediumclamp_x+,0.8070152,1.392272,-1.078253
mediumclamp_x+,0.8047341,1.391515,-1.078186
mediumclamp_x+,0.8002697,1.389478,-1.076959
mediumclamp_x+,0.7976046,1.387798,-1.076053
mediumclamp_x+,0.7957728,1.387069,-1.075968
