Scene,Camera X,Camera Y,Camera Z
gelatinbox_z-,0.9689965,1.229421,-0.9819348
gelatinbox_z-,0.9713957,1.22763,-0.9768752
gelatinbox_z-,0.9736898,1.225991,-0.9731281
gelatinbox_z-,0.9761464,1.22404,-0.9686465
gelatinbox_z-,0.9786898,1.222119,-0.9643263
gelatinbox_z-,0.9810676,1.220849,-0.9615576
gelatinbox_z-,0.9825022,1.220043,-0.9591635
gelatinbox_z-,0.9841825,1.219462,-0.9568771
gelatinbox_z-,0.9855699,1.219035,-0.9554039
gelatinbox_z-,0.9859725,1.218483,-0.9538595
gelatinbox_z-,0.9864814,1.218041,-0.9525831
gelatinbox_z-,0.9870163,1.21741,-0.9501489
gelatinbox_z-,0.9880811,1.216864,-0.9489871
gelatinbox_z-,0.9893841,1.216071,-0.9485338
gelatinbox_z-,0.9901946,1.215049,-0.9483213
gelatinbox_z-,0.990339,1.214449,-0.9468259
gelatinbox_z-,0.9908566,1.213712,-0.9461069
gelatinbox_z-,0.9911031,1.212723,-0.9459208
gelatinbox_z-,0.9909189,1.212575,-0.9451662
gelatinbox_z-,0.9909422,1.212517,-0.9448612
gelatinbox_z-,0.9915343,1.21233,-0.9444414
gelatinbox_z-,0.9918142,1.212207,-0.9448592
gelatinbox_z-,0.9921149,1.212118,-0.9450721
gelatinbox_z-,0.9925983,1.212029,-0.9453949
gelatinbox_z-,0.9927583,1.211953,-0.9455893
gelatinbox_z-,0.9930598,1.211884,-0.9457586
gelatinbox_z-,0.9931581,1.211879,-0.9461569
gelatinbox_z-,0.9932082,1.211977,-0.9466225
gelatinbox_z-,0.9932895,1.212073,-0.9467662
gelatinbox_z-,0.9931667,1.212018,-0.9471655
gelatinbox_z-,0.9933648,1.212013,-0.9473587
gelatinbox_z-,0.9931447,1.21206,-0.9477516
gelatinbox_z-,0.99346,1.21208,-0.9479202
gelatinbox_z-,0.9933228,1.212127,-0.9482877
gelatinbox_z-,0.9930835,1.212384,-0.9480207
gelatinbox_z-,0.9926576,1.212702,-0.9475831
gelatinbox_z-,0.992353,1.213045,-0.9473197
gelatinbox_z-,0.9924079,1.213069,-0.9471877
gelatinbox_z-,0.9928825,1.212971,-0.9475989
gelatinbox_z-,0.9923306,1.211771,-0.9449245
gelatinbox_z-,0.9946523,1.210931,-0.9450722
gelatinbox_z-,0.9947841,1.210938,-0.944747
gelatinbox_z-,0.9949915,1.210895,-0.944632
gelatinbox_z-,0.9949013,1.210798,-0.9444593
gelatinbox_z-,0.9948788,1.210752,-0.9443383
gelatinbox_z-,0.9948879,1.210744,-0.9442452
gelatinbox_z-,0.9946483,1.210793,-0.9442701
gelatinbox_z-,0.9945066,1.210671,-0.9444665
gelatinbox_z-,0.9944739,1.210743,-0.9444064
gelatinbox_z-,0.9947495,1.210703,-0.9447334
gelatinbox_z-,0.9945679,1.210646,-0.9449106
